user_id,clip_id,gamesession_Id,game_name,event_name,created_at,scheduled_at,join_at
1718513,192513327660,212229487.0,COD: Black Ops Coldwar,,2023-12-01 12:34:48,2023-12-01 12:34:48,2023-06-18 23:06:31
4727411,192523895825,215325988.0,Other Games,Moment,2023-12-01 13:20:56,2023-12-01 13:20:56,2023-03-18 12:32:25
4727411,192523895825,215325988.0,Other Games,Moment,2023-12-01 13:20:56,2023-12-01 13:20:56,2023-03-18 12:32:25
4262737,192611671385,210670027.0,COD: Warzone3-2 & MW3-2,,2023-12-01 18:54:06,2023-12-01 18:54:06,2023-10-05 13:05:40
4262737,192611671385,210670027.0,COD: Warzone3-2 & MW3-2,,2023-12-01 18:54:07,2023-12-01 18:54:07,2023-10-05 13:05:40
3230920,192641978180,213290888.0,Halo Infinite,,2023-12-01 23:05:50,2023-12-01 23:30:00,2023-10-19 21:22:50
3230920,192652429870,213290888.0,Halo Infinite,,2023-12-02 00:17:35,2023-12-02 03:00:00,2023-10-19 21:22:50
4727411,192522583540,215325988.0,Other Games,Moment,2023-12-02 01:36:42,2023-12-02 02:05:00,2023-03-18 12:32:25
4727411,192522583540,215325988.0,Other Games,Moment,2023-12-02 01:36:42,2023-12-02 02:05:00,2023-03-18 12:32:25
4727411,192522754370,215325988.0,Other Games,Moment,2023-12-02 01:37:59,2023-12-02 02:07:00,2023-03-18 12:32:25
4727411,192522754370,215325988.0,Other Games,Moment,2023-12-02 01:37:59,2023-12-02 02:07:00,2023-03-18 12:32:25
4727411,192522863080,215325988.0,Other Games,Moment,2023-12-02 01:38:56,2023-12-02 02:08:00,2023-03-18 12:32:25
4727411,192522863080,215325988.0,Other Games,Moment,2023-12-02 01:38:56,2023-12-02 02:08:00,2023-03-18 12:32:25
4727411,192522971790,215325988.0,Other Games,Moment,2023-12-02 01:40:00,2023-12-02 02:09:00,2023-03-18 12:32:25
4727411,192522971790,215325988.0,Other Games,Moment,2023-12-02 01:40:01,2023-12-02 02:09:00,2023-03-18 12:32:25
4727411,192523375570,215325988.0,Other Games,Moment,2023-12-02 01:43:30,2023-12-02 02:13:00,2023-03-18 12:32:25
4727411,192523375570,215325988.0,Other Games,Moment,2023-12-02 01:43:30,2023-12-02 02:13:00,2023-03-18 12:32:25
4727411,192523616285,215325988.0,Other Games,Moment,2023-12-02 01:45:00,2023-12-02 02:14:00,2023-03-18 12:32:25
4727411,192523616285,215325988.0,Other Games,Moment,2023-12-02 01:45:00,2023-12-02 02:14:00,2023-03-18 12:32:25
4727411,192213792785,214588041.0,Other Games,Moment,2023-12-02 01:48:32,2023-12-02 02:17:00,2023-03-18 12:32:25
4727411,192213792785,214588041.0,Other Games,Moment,2023-12-02 01:48:32,2023-12-02 02:17:00,2023-03-18 12:32:25
4727411,192214049030,214588041.0,Other Games,Moment,2023-12-02 01:49:02,2023-12-02 02:18:00,2023-03-18 12:32:25
4727411,192214049030,214588041.0,Other Games,Moment,2023-12-02 01:49:02,2023-12-02 02:18:00,2023-03-18 12:32:25
4727411,192214196565,214588041.0,Other Games,Moment,2023-12-02 01:49:51,2023-12-02 02:19:00,2023-03-18 12:32:25
4727411,192214196565,214588041.0,Other Games,Moment,2023-12-02 01:49:51,2023-12-02 02:19:00,2023-03-18 12:32:25
4727411,192214468340,214588041.0,Other Games,Moment,2023-12-02 01:50:36,2023-12-02 02:20:00,2023-03-18 12:32:25
4727411,192214468340,214588041.0,Other Games,Moment,2023-12-02 01:50:36,2023-12-02 02:20:00,2023-03-18 12:32:25
4727411,192214577050,214588041.0,Other Games,Moment,2023-12-02 01:51:28,2023-12-02 02:21:00,2023-03-18 12:32:25
4727411,192214577050,214588041.0,Other Games,Moment,2023-12-02 01:51:28,2023-12-02 02:21:00,2023-03-18 12:32:25
3233066,192676198535,215241764.0,Fortnite,,2023-12-02 01:52:57,2023-12-02 20:30:00,2023-02-15 17:16:24
3233066,192676198535,215241764.0,Fortnite,,2023-12-02 01:52:57,2023-12-02 20:30:00,2023-02-15 17:16:24
4727411,192214810000,214588041.0,Other Games,Moment,2023-12-02 01:53:15,2023-12-02 02:22:00,2023-03-18 12:32:25
4727411,192214810000,214588041.0,Other Games,Moment,2023-12-02 01:53:15,2023-12-02 02:22:00,2023-03-18 12:32:25
4727411,192215058480,214588041.0,Other Games,Moment,2023-12-02 01:53:47,2023-12-02 02:23:00,2023-03-18 12:32:25
4224739,191557906530,212067149.0,Apex Legends,Chain kill,2023-12-02 02:08:23,2023-12-02 02:08:23,2023-10-17 11:14:36
4224739,191557906530,212067149.0,Apex Legends,Chain kill,2023-12-02 02:08:23,2023-12-02 02:08:23,2023-10-17 11:14:36
3230920,192679879145,212154569.0,Halo Infinite,,2023-12-02 02:31:41,2023-12-02 07:01:00,2023-10-19 21:22:50
3950232,192695347025,213528755.0,COD: Warzone3-2 & MW3-2,,2023-12-02 03:48:49,2023-12-02 03:48:49,2023-07-24 21:21:41
3950232,192695347025,213528755.0,COD: Warzone3-2 & MW3-2,,2023-12-02 03:48:49,2023-12-02 03:48:49,2023-07-24 21:21:41
3950232,192695347025,213528755.0,COD: Warzone3-2 & MW3-2,,2023-12-02 03:48:50,2023-12-02 03:48:50,2023-07-24 21:21:41
1189261,192698220075,215499559.0,chatting,,2023-12-02 03:56:45,2023-12-02 03:56:45,2023-05-28 06:47:30
1189261,192698220075,215499559.0,chatting,,2023-12-02 03:56:45,2023-12-02 03:56:45,2023-05-28 06:47:30
1189261,192698220075,215499559.0,chatting,,2023-12-02 03:56:46,2023-12-02 03:56:46,2023-05-28 06:47:30
1189261,192698220075,215499559.0,chatting,,2023-12-02 03:56:46,2023-12-02 03:56:46,2023-05-28 06:47:30
